userid,dance_clubs,restaurants,museums,resorts,theaters,religious_institutions,location
1,5,1,2,1,4,0,Jubliee hills_Insomnia-TOT-Amnesia-By the Bottle-Club Rogue-Carpedium-Jubliee hills_PVR
2,1,5,1,0,0,0,Himayatnagar_Bluefox-MinervaCoffeeHouse-Mehfil-Cafe Bahar
3,1,2,5,2,1,1,OldCity_SalarJungMusuem
4,1,1,1,5,1,1,Shamirpet_Alankritha-Leoniaresort-BackYardThota
5,0,0,0,0,0,0,No_Location_Found
6,1,2,3,4,5,5,OldCity_SalarJungmuseum-Banjara hills_Dream valley resorts-Saqlain resorts-Pragati resorts-Pride resorts-Punjagutta-PVRCinemas_Hayathnagar-SanghiTemple
7,4,4,0,0,1,2,JublieeHills_Insomnia-Carpedium-Amnesia-PoshNosh-Himayathnagar_MinervaCoffeeHouse-BlueFox-Mehfil
8,0,0,0,5,3,4,Shameerpet_Alankritha-Leoniaresort-BackYardThota-BanjaraHills_INOX GVK ONE-JublieeHills_Peddamma temple
9,0,4,5,0,0,0,Himayathanagar_Bluefox-MinervaCoffeeHouse-OldCity_SalarJungMuseum
10,1,1,1,1,1,1,JublieeHills_Insomnia-JublieeHills_A'La Liberty-OldCity_SalarjungMuseum-Shameerpet_Alankritha-Punjagutta_PVR-Hyathanagar_SanghiTemple
11,1,2,3,4,5,5,OldCity_SalarJungmuseum-Manneguda_CasaDel-Kairatabad_Prasads IMAX-Kairatabad_Birla Mandir
12,5,5,1,4,2,0,HitechCity_Block 22-HitechCity_Rotis-Chilkamarri_BackYardThota
13,4,3,5,4,0,1,Jubliee hills_By the bottle-Insomnia-PoshNosh-Amnesia-TikkyShak-Jubliee hills_Krishnapatanam-One driveIn-OldCity_SalarJungmuseum-Manneguda_CasaDel
14,3,3,3,3,3,3,Jubliee hills_Insomnia-PoshNosh-Amnesia-TikkyShak-BLVD-Jubliee hills_Krishnapatanam-OldCity_SalarJungmuseum-Manneguda_CasaDel--Hayathnagar_SanghiTemple
